商品商品,现货价格,最近合约代码,最近合约价格,最近合约现期差1,主力合约代码,主力合约价格,主力合约现期差2,timestamp
上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,20220811
铜,62568.33,2208,62560,80.01%,2209,62100,4680.75%,20220811
螺纹钢,4159.56,2208,4093,661.59%,2210,4080,791.90%,20220811
锌,25606.00,2208,25700,-94-0.37%,2209,25180,4261.66%,20220811
铝,18806.67,2208,18950,-143-0.76%,2209,18730,760.40%,20220811
黄金,388.99,2208,388.88,0.110.03%,2212,390.7,-1.71-0.44%,20220811
线材,4566.00,2208,4797,-231-5.06%,2210,4507,591.29%,20220811
燃料油,6510.00,2209,3309,320149.17%,2301,3236,327450.29%,20220811
天然橡胶,12110.00,2208,11920,1901.57%,2301,12940,-830-6.85%,20220811
铅,15106.25,2208,15160,-53-0.35%,2209,15170,-63-0.42%,20220811
白银,4474.00,2208,4474,0.000.00%,2212,4514,-40-0.89%,20220811
石油沥青,4397.00,2208,4700,-303-6.89%,2212,4184,2134.84%,20220811
热轧卷板,4024.00,2208,3962,621.54%,2210,4039,-15-0.37%,20220811
镍,182166.67,2208,177720,44462.44%,2209,173700,84664.65%,20220811
锡,202512.50,2208,200340,21721.07%,2209,198760,37521.85%,20220811
纸浆,7270.00,2208,7190,801.10%,2301,6628,6428.83%,20220811
不锈钢,16240.00,2208,15750,4903.02%,2209,15585,6554.03%,20220811
郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,20220811
PTA,6010.83,2208,6002,80.13%,2301,5514,4968.25%,20220811
白糖,5824.00,2209,5632,1923.30%,2301,5573,2514.31%,20220811
棉花,15666.67,2209,14795,8715.56%,2301,14565,11017.03%,20220811
普麦,3010.00,2209,3000,100.33%,2307,3122,-112-3.72%,20220811
菜籽油OI,12910.00,2209,11962,9487.34%,2209,11962,9487.34%,20220811
强麦WH,3010.00,2209,3300,-290-9.63%,2303,3367,-357-11.86%,20220811
玻璃,19.94,2208,1530,654.07%,2301,1555,402.51%,20220811
菜籽粕,3634.00,2208,3546,882.42%,2301,2859,77521.33%,20220811
油菜籽,6900.00,2208,6831,691.00%,2209,6534,3665.30%,20220811
硅铁,7657.14,2208,7924,-266-3.47%,2209,7958,-300-3.92%,20220811
锰硅,7130.00,2208,7322,-192-2.69%,2209,7324,-194-2.72%,20220811
甲醇MA,2443.75,2208,2520,-76-3.11%,2209,2418,251.02%,20220811
棉纱,26575.00,2208,21715,486018.29%,2209,22225,435016.37%,20220811
尿素,2322.00,2208,2402,-80-3.45%,2301,2241,813.49%,20220811
纯碱,2840.00,2208,2621,2197.71%,2301,2344,49617.46%,20220811
涤纶短纤,7818.33,2208,7508,3103.97%,2210,7184,6348.11%,20220811
大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,20220811
棕榈油,10040.00,2208,9192,8488.45%,2209,8550,149014.84%,20220811
聚氯乙烯,6581.43,2208,6636,-54-0.82%,2209,6689,-107-1.63%,20220811
聚乙烯,8025.71,2208,7809,2162.69%,2209,7849,1762.19%,20220811
豆一,6187.50,2209,6255,-67-1.08%,2209,6255,-67-1.08%,20220811
豆粕,4280.00,2208,4213,671.57%,2301,3733,54712.78%,20220811
豆油,10670.00,2208,9916,7547.07%,2301,9706,9649.03%,20220811
玉米,2770.00,2209,2707,632.27%,2301,2725,451.62%,20220811
铁矿石,801.33,2208,789,121.50%,2301,734.5,668.24%,20220811
鸡蛋,9.41,2208,4275,4309.14%,2301,4028,67714.39%,20220811
聚丙烯,8141.67,2208,7965,1762.16%,2209,7912,2292.81%,20220811
玉米淀粉,3306.00,2209,3023,2838.56%,2209,3023,2838.56%,20220811
乙二醇,4375.00,2208,4112,2636.01%,2209,4102,2736.24%,20220811
苯乙烯,8600.00,2208,8735,-135-1.57%,2209,8475,1251.45%,20220811
液化石油气,5556.00,2208,5580,-24-0.43%,2209,5073,4838.69%,20220811
生猪,21.27,2209,19650,16207.62%,2301,21770,-500-2.35%,20220811
上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,20220812
铜,63000.00,2208,63090,-90-0.14%,2209,62720,2800.44%,20220812
螺纹钢,4188.89,2208,4135,531.27%,2210,4127,611.46%,20220812
锌,25482.00,2208,25425,570.22%,2209,25210,2721.07%,20220812
铝,18686.67,2208,18990,-303-1.62%,2209,18670,160.09%,20220812
黄金,389.27,2208,387.9,1.370.35%,2212,390.74,-1.47-0.38%,20220812
线材,4592.00,2208,4797,-205-4.46%,2210,4560,320.70%,20220812
燃料油,6520.00,2209,3433,308747.35%,2301,3350,317048.62%,20220812
天然橡胶,12110.00,2208,12000,1100.91%,2301,13025,-915-7.56%,20220812
铅,15243.75,2208,15290,-46-0.30%,2209,15305,-61-0.40%,20220812
白银,4443.33,2208,4450,-6-0.14%,2212,4471,-27-0.61%,20220812
石油沥青,4419.50,2208,4517,-97-2.19%,2212,4248,1713.87%,20220812
热轧卷板,4052.00,2208,3962,902.22%,2210,4075,-23-0.57%,20220812
镍,187150.00,2208,183670,34801.86%,2209,181540,56103.00%,20220812
锡,206137.50,2208,205250,8870.43%,2209,204770,13670.66%,20220812
纸浆,7270.00,2208,7080,1902.61%,2301,6590,6809.35%,20220812
不锈钢,16240.00,2208,15760,4802.96%,2209,15735,5053.11%,20220812
郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,20220812
PTA,6183.33,2208,6142,410.66%,2301,5602,5819.40%,20220812
白糖,5832.00,2209,5693,1392.38%,2301,5601,2313.96%,20220812
棉花,15686.83,2209,15115,5713.64%,2301,14845,8415.36%,20220812
普麦,3014.00,2209,3000,140.46%,2307,3122,-108-3.58%,20220812
菜籽油OI,13112.00,2209,12319,7936.05%,2301,11456,165612.63%,20220812
强麦WH,3014.00,2209,3300,-286-9.49%,2303,3367,-353-11.71%,20220812
玻璃,20.04,2208,1552,513.18%,2301,1577,261.62%,20220812
菜籽粕,3652.00,2208,3575,772.11%,2301,2882,77021.08%,20220812
油菜籽,6900.00,2208,6836,640.93%,2209,6539,3615.23%,20220812
硅铁,7657.14,2208,8106,-448-5.85%,2209,8108,-450-5.88%,20220812
锰硅,7130.00,2208,7350,-220-3.09%,2209,7388,-258-3.62%,20220812
甲醇MA,2460.00,2208,2520,-60-2.44%,2209,2451,90.37%,20220812
棉纱,26575.00,2208,22120,445516.76%,2209,22640,393514.81%,20220812
尿素,2348.00,2208,2380,-32-1.36%,2301,2296,522.21%,20220812
纯碱,2840.00,2208,2613,2277.99%,2301,2375,46516.37%,20220812
涤纶短纤,7801.67,2208,7666,1351.73%,2210,7334,4675.99%,20220812
大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,20220812
棕榈油,10332.50,2208,9420,9128.83%,2301,8536,179617.38%,20220812
聚氯乙烯,6570.00,2208,6944,-374-5.69%,2209,6654,-84-1.28%,20220812
聚乙烯,8025.71,2208,8098,-72-0.90%,2209,7829,1962.44%,20220812
豆一,6187.50,2209,6258,-70-1.13%,2209,6258,-70-1.13%,20220812
豆粕,4316.00,2208,4162,1543.57%,2301,3749,56713.14%,20220812
豆油,10734.00,2208,9916,8187.62%,2301,9820,9148.51%,20220812
玉米,2771.43,2209,2733,381.37%,2301,2750,210.76%,20220812
铁矿石,802.56,2208,789.5,131.62%,2301,728.5,749.22%,20220812
鸡蛋,9.46,2208,4310,4208.88%,2301,4036,69414.67%,20220812
聚丙烯,8141.67,2208,8082,590.72%,2209,7916,2252.76%,20220812
玉米淀粉,3306.00,2209,3059,2477.47%,2209,3059,2477.47%,20220812
乙二醇,4350.00,2208,4113,2375.45%,2209,4139,2114.85%,20220812
苯乙烯,8550.00,2208,8735,-185-2.16%,2209,8502,480.56%,20220812
液化石油气,5560.00,2208,5580,-20-0.36%,2209,5238,3225.79%,20220812
生猪,21.33,2209,19625,17047.99%,2301,21715,-385-1.80%,20220812
上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,20220815
铜,62393.33,2208,62320,730.12%,2209,61940,4530.73%,20220815
螺纹钢,4236.67,2208,4142,942.22%,2210,4157,791.86%,20220815
锌,24984.00,2208,24920,640.26%,2209,24715,2691.08%,20220815
铝,18243.33,2208,18425,-181-0.99%,2209,18270,-26-0.14%,20220815
黄金,391.25,2208,387.9,3.350.86%,2212,392.06,-0.81-0.21%,20220815
线材,4610.00,2208,4797,-187-4.06%,2210,4624,-14-0.30%,20220815
燃料油,6520.00,2209,3477,304346.67%,2301,3364,315648.40%,20220815
天然橡胶,12080.00,2208,11850,2301.90%,2301,12875,-795-6.58%,20220815
铅,15056.25,2208,15110,-53-0.35%,2209,15100,-43-0.29%,20220815
白银,4555.67,2208,4552,3.670.08%,2212,4534,210.46%,20220815
石油沥青,4455.75,2208,4517,-61-1.37%,2212,4228,2275.09%,20220815
热轧卷板,4060.00,2208,4040,200.49%,2210,4082,-22-0.54%,20220815
镍,181966.67,2208,179960,20061.10%,2209,176900,50662.78%,20220815
锡,198887.50,2208,198820,670.03%,2209,199000,-112-0.06%,20220815
纸浆,7230.00,2208,7004,2263.13%,2301,6520,7109.82%,20220815
不锈钢,16200.00,2208,15760,4402.72%,2209,15625,5753.55%,20220815
郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,20220815
PTA,6285.83,2209,6032,2534.02%,2301,5650,63510.10%,20220815
白糖,5834.00,2209,5701,1332.28%,2301,5603,2313.96%,20220815
棉花,15729.50,2209,15630,990.63%,2301,15250,4793.05%,20220815
普麦,3010.00,2209,3000,100.33%,2307,3122,-112-3.72%,20220815
菜籽油OI,13028.00,2209,12204,8246.32%,2301,11427,160112.29%,20220815
强麦WH,3010.00,2209,3069,-59-1.96%,2303,3131,-121-4.02%,20220815
玻璃,20.08,2209,1604,2.400.15%,2301,1554,523.24%,20220815
菜籽粕,3622.00,2209,3447,1754.83%,2301,2861,76121.01%,20220815
油菜籽,6892.00,2209,6536,3565.17%,2209,6536,3565.17%,20220815
硅铁,7657.14,2209,8066,-408-5.33%,2210,7870,-212-2.77%,20220815
锰硅,7130.00,2209,7398,-268-3.76%,2209,7398,-268-3.76%,20220815
甲醇MA,2462.50,2209,2465,-2.50-0.10%,2301,2516,-53-2.15%,20220815
棉纱,26575.00,2209,23170,340512.81%,2209,23170,340512.81%,20220815
尿素,2356.00,2209,2349,70.30%,2301,2313,431.83%,20220815
纯碱,2840.00,2209,2618,2227.82%,2301,2376,46416.34%,20220815
涤纶短纤,7818.33,2209,7488,3304.22%,2210,7382,4365.58%,20220815
大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,20220815
棕榈油,10137.50,2209,8786,135113.33%,2301,8590,154715.26%,20220815
聚氯乙烯,6516.67,2209,6566,-49-0.75%,2209,6566,-49-0.75%,20220815
聚乙烯,8018.57,2209,7859,1591.98%,2209,7859,1591.98%,20220815
豆一,6175.00,2209,6209,-34-0.55%,2209,6209,-34-0.55%,20220815
豆粕,4306.00,2209,4075,2315.36%,2301,3716,59013.70%,20220815
豆油,10610.00,2209,10084,5264.96%,2301,9778,8327.84%,20220815
玉米,2767.14,2209,2716,511.84%,2301,2739,281.01%,20220815
铁矿石,794.56,2209,793.5,1.060.13%,2301,722.5,729.06%,20220815
鸡蛋,9.75,2208,4310,56511.59%,2301,4085,79016.21%,20220815
聚丙烯,8141.67,2209,7934,2072.54%,2301,7782,3594.41%,20220815
玉米淀粉,3274.00,2209,3046,2286.96%,2209,3046,2286.96%,20220815
乙二醇,4308.33,2208,4113,1954.53%,2209,4133,1754.06%,20220815
苯乙烯,8657.14,2208,8674,-16-0.18%,2209,8409,2482.86%,20220815
液化石油气,5636.00,2208,5580,560.99%,2210,5151,4858.61%,20220815
生猪,21.22,2209,19935,12856.06%,2301,22160,-940-4.43%,20220815
上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,20220816
铜,62443.33,2209,61760,6831.09%,2209,61760,6831.09%,20220816
螺纹钢,4228.89,2209,4142,862.03%,2210,4138,902.13%,20220816
锌,25156.00,2209,24785,3711.47%,2209,24785,3711.47%,20220816
铝,18143.33,2209,17985,1580.87%,2209,17985,1580.87%,20220816
黄金,390.47,2209,390.1,0.370.09%,2212,390.58,-0.11-0.03%,20220816
线材,4574.00,2209,4747,-173-3.78%,2210,4653,-79-1.73%,20220816
燃料油,6510.00,2209,3441,306947.14%,2301,3264,324649.86%,20220816
天然橡胶,12060.00,2209,11800,2602.16%,2301,12680,-620-5.14%,20220816
铅,15037.50,2209,15025,120.08%,2209,15025,120.08%,20220816
白银,4437.00,2209,4438,-1.00-0.02%,2212,4452,-15-0.34%,20220816
石油沥青,4459.50,2209,4326,1332.98%,2212,4140,3197.15%,20220816
热轧卷板,4048.00,2209,4027,210.52%,2210,4041,70.17%,20220816
镍,179183.33,2209,172370,68133.80%,2209,172370,68133.80%,20220816
锡,200387.50,2209,198000,23871.19%,2209,198000,23871.19%,20220816
纸浆,7260.00,2209,6948,3124.30%,2301,6410,85011.71%,20220816
不锈钢,16120.00,2209,15565,5553.44%,2209,15565,5553.44%,20220816
郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,20220816
PTA,6162.50,2209,5904,2584.19%,2301,5486,67610.97%,20220816
白糖,5824.00,2209,5674,1502.58%,2301,5583,2414.14%,20220816
棉花,15900.83,2209,15795,1050.66%,2301,15485,4152.61%,20220816
普麦,3004.00,2209,3000,4.000.13%,2307,3122,-118-3.93%,20220816
菜籽油OI,12868.00,2209,11671,11979.30%,2301,11070,179813.97%,20220816
强麦WH,3004.00,2209,3083,-79-2.63%,2303,3145,-141-4.69%,20220816
玻璃,20.15,2209,1600,110.68%,2301,1521,905.58%,20220816
菜籽粕,3618.00,2209,3427,1915.28%,2301,2816,80222.17%,20220816
油菜籽,6892.00,2209,6513,3795.50%,2209,6513,3795.50%,20220816
硅铁,7707.14,2209,8060,-352-4.57%,2210,7836,-128-1.66%,20220816
锰硅,7140.00,2209,7388,-248-3.47%,2209,7388,-248-3.47%,20220816
甲醇MA,2458.00,2209,2451,70.28%,2301,2502,-44-1.79%,20220816
棉纱,26575.00,2209,23000,357513.45%,2209,23000,357513.45%,20220816
尿素,2356.00,2209,2320,361.53%,2301,2285,713.01%,20220816
纯碱,2840.00,2209,2615,2257.92%,2301,2345,49517.43%,20220816
涤纶短纤,7868.33,2209,7350,5186.58%,2210,7210,6588.36%,20220816
大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,20220816
棕榈油,10160.00,2209,8632,152815.04%,2301,8430,173017.03%,20220816
聚氯乙烯,6516.67,2209,6480,360.55%,2301,6246,2704.14%,20220816
聚乙烯,8018.57,2209,7744,2743.42%,2301,7687,3314.13%,20220816
豆一,6175.00,2209,6151,240.39%,2209,6151,240.39%,20220816
豆粕,4294.00,2209,4050,2445.68%,2301,3664,63014.67%,20220816
豆油,10620.00,2209,9928,6926.52%,2301,9580,10409.79%,20220816
玉米,2764.29,2209,2701,632.28%,2301,2738,260.94%,20220816
铁矿石,778.56,2209,787,-8-1.03%,2301,715,638.09%,20220816
鸡蛋,9.75,2208,4332,54311.14%,2301,4114,76115.61%,20220816
聚丙烯,8141.67,2209,7849,2923.59%,2301,7685,4565.60%,20220816
玉米淀粉,3274.00,2209,3029,2457.48%,2209,3029,2457.48%,20220816
乙二醇,4308.33,2208,3962,3468.03%,2209,4017,2916.75%,20220816
苯乙烯,8628.57,2208,8599,290.34%,2209,8079,5496.36%,20220816
液化石油气,5690.00,2208,5580,1101.93%,2210,5115,57510.11%,20220816
生猪,21.22,2209,20290,9304.38%,2301,22420,-1200-5.66%,20220816
上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,20220817
铜,62450.00,2209,62080,3700.59%,2209,62080,3700.59%,20220817
螺纹钢,4197.78,2209,4093,1042.48%,2210,4087,1102.62%,20220817
锌,25712.00,2209,25605,1070.42%,2209,25605,1070.42%,20220817
铝,18496.67,2209,18495,1.670.01%,2209,18495,1.670.01%,20220817
黄金,390.20,2209,389.68,0.520.13%,2212,390.18,0.020.01%,20220817
线材,4546.00,2209,4747,-201-4.42%,2210,4551,-5-0.11%,20220817
燃料油,6530.00,2209,3460,307047.01%,2301,3242,328850.35%,20220817
天然橡胶,12192.00,2209,11985,2071.70%,2301,12890,-698-5.73%,20220817
铅,15037.50,2209,15110,-72-0.48%,2209,15110,-72-0.48%,20220817
白银,4434.00,2209,4423,110.25%,2212,4442,-8-0.18%,20220817
石油沥青,4459.50,2209,4332,1272.85%,2212,4138,3217.20%,20220817
热轧卷板,3992.00,2209,3992,0.000.00%,2210,3989,3.000.08%,20220817
镍,178050.00,2209,173960,40902.30%,2209,173960,40902.30%,20220817
锡,200387.50,2209,199950,4370.22%,2209,199950,4370.22%,20220817
纸浆,7260.00,2209,6894,3665.04%,2301,6328,93212.84%,20220817
不锈钢,16070.00,2209,15755,3151.96%,2209,15755,3151.96%,20220817
郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,20220817
PTA,6154.17,2209,5920,2343.80%,2301,5482,67210.92%,20220817
白糖,5824.00,2209,5643,1813.11%,2301,5575,2494.28%,20220817
棉花,16048.50,2209,15865,1831.14%,2301,15590,4582.85%,20220817
普麦,3004.00,2209,3000,4.000.13%,2307,3122,-118-3.93%,20220817
菜籽油OI,12748.00,2209,11736,10127.94%,2301,11093,165512.98%,20220817
强麦WH,3004.00,2209,3083,-79-2.63%,2303,3146,-142-4.73%,20220817
玻璃,20.04,2209,1574,291.81%,2301,1492,1116.92%,20220817
菜籽粕,3618.00,2209,3432,1865.14%,2301,2823,79521.97%,20220817
油菜籽,6892.00,2209,6473,4196.08%,2209,6473,4196.08%,20220817
硅铁,7700.00,2209,7726,-26-0.34%,2210,7560,1401.82%,20220817
锰硅,7140.00,2209,7278,-138-1.93%,2209,7278,-138-1.93%,20220817
甲醇MA,2425.00,2209,2443,-18-0.74%,2301,2459,-34-1.40%,20220817
棉纱,26575.00,2209,23190,338512.74%,2209,23190,338512.74%,20220817
尿素,2356.00,2209,2307,492.08%,2301,2270,863.65%,20220817
纯碱,2840.00,2209,2608,2328.17%,2301,2316,52418.45%,20220817
涤纶短纤,7868.33,2209,7302,5667.19%,2210,7160,7089.00%,20220817
大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,20220817
棕榈油,9907.50,2209,8602,130513.17%,2301,8438,146914.83%,20220817
聚氯乙烯,6443.33,2209,6514,-70-1.09%,2301,6190,2533.93%,20220817
聚乙烯,8011.43,2209,7684,3274.08%,2301,7592,4195.23%,20220817
豆一,6175.00,2209,6071,1041.68%,2209,6071,1041.68%,20220817
豆粕,4312.00,2209,4062,2505.80%,2301,3658,65415.17%,20220817
豆油,10640.00,2209,10006,6345.96%,2301,9638,10029.42%,20220817
玉米,2760.00,2209,2691,692.50%,2301,2729,311.12%,20220817
铁矿石,776.78,2209,777,-0.22-0.03%,2301,706.5,709.01%,20220817
鸡蛋,9.75,2208,4433,4429.07%,2301,4152,72314.83%,20220817
聚丙烯,8058.33,2209,7805,2533.14%,2301,7604,4545.63%,20220817
玉米淀粉,3256.00,2209,2991,2658.14%,2209,2991,2658.14%,20220817
乙二醇,4225.00,2208,3932,2936.93%,2209,3938,2876.79%,20220817
苯乙烯,8514.29,2208,8519,-4.71-0.06%,2209,7943,5716.71%,20220817
液化石油气,5680.00,2208,5580,1001.76%,2210,5097,58310.26%,20220817
生猪,21.28,2209,20485,7953.74%,2301,22585,-1305-6.13%,20220817
上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,20220818
铜,62350.00,2209,61540,8101.30%,2209,61540,8101.30%,20220818
螺纹钢,4127.78,2209,4045,821.99%,2210,4030,972.35%,20220818
锌,25064.00,2209,24890,1740.69%,2209,24890,1740.69%,20220818
铝,18600.00,2209,18565,350.19%,2209,18565,350.19%,20220818
黄金,387.02,2209,388.34,-1.32-0.34%,2212,388.02,-1.00-0.26%,20220818
线材,4492.00,2209,4747,-255-5.68%,2210,4535,-43-0.96%,20220818
燃料油,6530.00,2209,3445,308547.24%,2301,3212,331850.81%,20220818
天然橡胶,12140.00,2209,11965,1751.44%,2301,12885,-745-6.14%,20220818
铅,15062.50,2209,15025,370.25%,2209,15025,370.25%,20220818
白银,4352.00,2209,4346,60.14%,2212,4368,-16-0.37%,20220818
石油沥青,4490.86,2209,4324,1663.70%,2212,4119,3718.26%,20220818
热轧卷板,3928.00,2209,3910,180.46%,2210,3919,90.23%,20220818
镍,177883.33,2209,172450,54333.05%,2209,172450,54333.05%,20220818
锡,199762.50,2209,197750,20121.01%,2209,197750,20121.01%,20220818
纸浆,7244.00,2209,6872,3725.14%,2301,6274,97013.39%,20220818
不锈钢,16100.00,2209,15335,7654.75%,2209,15335,7654.75%,20220818
郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,20220818
PTA,6158.33,2209,5930,2283.70%,2301,5462,69611.30%,20220818
白糖,5804.00,2209,5599,2053.53%,2301,5541,2634.53%,20220818
棉花,16081.33,2209,15410,6714.17%,2301,14995,10866.75%,20220818
普麦,3002.00,2209,3000,2.000.07%,2307,3122,-120-4.00%,20220818
菜籽油OI,12718.00,2209,11704,10147.97%,2301,10984,173413.63%,20220818
强麦WH,3002.00,2209,3083,-81-2.70%,2303,3146,-144-4.80%,20220818
玻璃,19.92,2209,1571,221.38%,2301,1484,1096.84%,20220818
菜籽粕,3608.00,2209,3450,1584.38%,2301,2808,80022.17%,20220818
油菜籽,6892.00,2209,6478,4146.01%,2209,6478,4146.01%,20220818
硅铁,7592.86,2209,7614,-21-0.28%,2210,7438,1542.03%,20220818
锰硅,6980.00,2209,7188,-208-2.98%,2209,7188,-208-2.98%,20220818
甲醇MA,2432.50,2209,2431,1.500.06%,2301,2429,3.500.14%,20220818
棉纱,26575.00,2209,22865,371013.96%,2209,22865,371013.96%,20220818
尿素,2356.00,2209,2286,702.97%,2301,2224,1325.60%,20220818
纯碱,2840.00,2209,2622,2187.68%,2301,2305,53518.84%,20220818
涤纶短纤,7801.67,2209,7234,5677.27%,2210,7108,6938.88%,20220818
大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,20220818
棕榈油,9637.50,2209,8502,113511.78%,2301,8310,132713.77%,20220818
聚氯乙烯,6368.33,2209,6474,-105-1.65%,2301,6134,2343.67%,20220818
聚乙烯,7890.00,2209,7667,2232.83%,2301,7522,3684.66%,20220818
豆一,6175.00,2209,6106,691.12%,2209,6106,691.12%,20220818
豆粕,4318.00,2209,4081,2375.49%,2301,3655,66315.35%,20220818
豆油,10440.00,2209,9932,5084.87%,2301,9574,8668.30%,20220818
玉米,2760.00,2209,2667,933.37%,2301,2702,582.10%,20220818
铁矿石,752.67,2209,764,-11-1.46%,2301,687,658.64%,20220818
鸡蛋,9.84,2208,4574,3467.03%,2301,4152,76815.61%,20220818
聚丙烯,8058.33,2209,7793,2653.29%,2301,7534,5246.50%,20220818
玉米淀粉,3256.00,2209,2982,2748.42%,2209,2982,2748.42%,20220818
乙二醇,4116.67,2208,3866,2506.07%,2301,4008,1082.62%,20220818
苯乙烯,8457.14,2208,8300,1571.86%,2210,7629,8289.79%,20220818
液化石油气,5690.00,2208,5580,1101.93%,2210,5204,4868.54%,20220818
生猪,21.42,2209,20475,9454.41%,2301,22545,-1125-5.25%,20220818
上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,20220819
铜,62900.00,2209,62250,6501.03%,2209,62250,6501.03%,20220819
螺纹钢,4134.44,2209,3996,1383.34%,2210,3998,1363.29%,20220819
锌,24962.00,2209,24850,1120.45%,2209,24850,1120.45%,20220819
铝,18433.33,2209,18470,-36-0.20%,2209,18470,-36-0.20%,20220819
黄金,386.69,2209,387.5,-0.81-0.21%,2212,387.54,-0.85-0.22%,20220819
线材,4488.00,2209,4747,-259-5.77%,2210,4485,3.000.07%,20220819
燃料油,6520.00,2209,3451,306947.07%,2301,3228,329250.49%,20220819
天然橡胶,12060.00,2209,11855,2051.70%,2301,12715,-655-5.43%,20220819
铅,14987.50,2209,14985,2.500.02%,2209,14985,2.500.02%,20220819
白银,4285.33,2209,4302,-16-0.37%,2212,4326,-40-0.93%,20220819
石油沥青,4483.71,2209,4274,2094.66%,2212,4059,4249.46%,20220819
热轧卷板,3904.00,2209,3847,571.46%,2210,3879,250.64%,20220819
镍,175033.33,2209,170800,42332.42%,2209,170800,42332.42%,20220819
锡,199700.00,2209,198460,12400.62%,2209,198460,12400.62%,20220819
纸浆,7244.00,2209,6880,3645.02%,2301,6258,98613.61%,20220819
不锈钢,16004.00,2209,15220,7844.90%,2209,15220,7844.90%,20220819
郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,20220819
PTA,6128.33,2209,5916,2123.46%,2301,5422,70611.52%,20220819
白糖,5794.00,2209,5577,2173.75%,2301,5498,2965.11%,20220819
棉花,15886.33,2209,15200,6864.32%,2301,14835,10516.62%,20220819
普麦,3002.00,2209,3000,2.000.07%,2307,3122,-120-4.00%,20220819
菜籽油OI,12700.00,2209,11648,10528.28%,2301,10836,186414.68%,20220819
强麦WH,3002.00,2209,3083,-81-2.70%,2303,3146,-144-4.80%,20220819
玻璃,19.92,2209,1547,462.89%,2301,1451,1428.91%,20220819
菜籽粕,3610.00,2209,3424,1865.15%,2301,2797,81322.52%,20220819
油菜籽,6892.00,2209,6413,4796.95%,2209,6413,4796.95%,20220819
硅铁,7592.86,2209,7518,740.97%,2210,7358,2343.08%,20220819
锰硅,6980.00,2209,7068,-88-1.26%,2301,7056,-76-1.09%,20220819
甲醇MA,2438.75,2209,2437,1.750.07%,2301,2426,120.49%,20220819
棉纱,26575.00,2209,23255,332012.49%,2209,23255,332012.49%,20220819
尿素,2352.00,2209,2238,1144.85%,2301,2162,1908.08%,20220819
纯碱,2840.00,2209,2614,2267.96%,2301,2264,57620.28%,20220819
涤纶短纤,7785.00,2209,7186,5997.69%,2210,7006,77910.01%,20220819
大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,20220819
棕榈油,9562.50,2209,8412,115012.03%,2301,8232,133013.91%,20220819
聚氯乙烯,6325.00,2209,6442,-117-1.85%,2301,6097,2283.60%,20220819
聚乙烯,7840.00,2209,7669,1712.18%,2301,7469,3714.73%,20220819
豆一,6175.00,2209,6045,1302.11%,2209,6045,1302.11%,20220819
豆粕,4350.00,2209,4103,2475.68%,2301,3662,68815.82%,20220819
